Conditions,Classes
Flow_Duration > -0.11669943109154701 AND Flow_Duration > -0.04877065494656563,DoS-Synflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port > 1.365336298942566 AND Dst_Port > 1.8418747782707214 AND Init_Bwd_Win_Byts > -0.6030022203922272 AND Dst_Port > 1.9655073285102844 AND Dst_Port <= 2.06101131439209 AND Dst_Port > 2.045832633972168 AND Dst_Port > 2.0517501831054688 AND Dst_Port > 2.051803231239319 AND Flow_Duration > -0.17837876826524734 AND Flow_Duration <= -0.14604466408491135 AND Dst_Port > 2.053766965866089 AND Flow_IAT_Min <= -0.2020341232419014 AND Flow_Duration <= -0.16560815274715424 AND Flow_Duration > -0.1776994839310646 AND Init_Bwd_Win_Byts > -0.5980668365955353,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min <= -0.24809429049491882 AND Dst_Port > -0.5765089690685272,Mirai-UDP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port > 0.2681964337825775 AND Src_Port > 0.5335628688335419 AND Dst_Port > -0.5455942153930664 AND Flow_IAT_Min <= -0.23126991838216782 AND Flow_Duration > -0.17810705304145813 AND Init_Bwd_Win_Byts <= -0.5983056426048279 AND Flow_IAT_Min > -0.24312972277402878 AND Flow_Duration <= -0.1580001339316368 AND Flow_IAT_Min > -0.24037162214517593 AND Flow_Duration <= -0.17321617901325226 AND Flow_Duration <= -0.1740313246846199 AND Src_Port > 1.0198469758033752,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port <= -0.3370986729860306 AND Flow_IAT_Min > -0.23926838487386703 AND Flow_Duration <= -0.11805800721049309 AND Src_Port > 0.9361713528633118 AND Flow_Duration <= -0.13952350616455078 AND Flow_Duration > -0.14821838587522507 AND Flow_IAT_Min <= -0.16590309143066406 AND Flow_IAT_Min <= -0.1664547100663185 AND Flow_IAT_Min <= -0.16700632870197296 AND Flow_Duration > -0.14604466408491135,Mirai-HTTP Flooding
Flow_Duration > -0.11669943109154701 AND Flow_Duration <= -0.04877065494656563 AND Init_Bwd_Win_Byts > -0.6006141304969788 AND Src_Port > -0.9739032685756683 AND Dst_Port > -0.5365718603134155,Normal
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port > 0.909543514251709 AND Dst_Port > -0.4858875721693039 AND Dst_Port <= 1.3062665462493896,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port > 0.909543514251709 AND Dst_Port <= -0.4858875721693039 AND Flow_Duration <= -0.14916939288377762 AND Init_Bwd_Win_Byts > -0.27583347260951996 AND Src_Port > 1.0165314078330994 AND Src_Port <= 1.020406424999237 AND Src_Port > 1.018044114112854,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port <= 0.8735286295413971,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port <= -0.3370986729860306 AND Flow_IAT_Min > -0.23926838487386703 AND Flow_Duration <= -0.11805800721049309 AND Src_Port > 0.9361713528633118 AND Flow_Duration > -0.13952350616455078 AND Flow_IAT_Min > -0.23871676623821259 AND Flow_Duration <= -0.1270246058702469 AND Flow_IAT_Min <= -0.14108024537563324 AND Flow_Duration <= -0.13055690377950668 AND Flow_IAT_Min > -0.2221682071685791,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts > -0.4528309851884842 AND Init_Bwd_Win_Byts <= 1.991342544555664 AND Src_Port > 0.8073424398899078 AND Src_Port <= 0.8636027574539185 AND Flow_Duration > -0.14604466408491135 AND Flow_IAT_Min <= -0.12039454281330109 AND Flow_IAT_Min <= -0.1686611846089363 AND Flow_IAT_Min > -0.24092324078083038 AND Flow_Duration <= -0.1325947716832161 AND Flow_Duration <= -0.13870836049318314 AND Src_Port <= 0.8397516906261444 AND Flow_Duration <= -0.1400669366121292 AND Flow_Duration <= -0.14577294886112213,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port <= -0.3370986729860306 AND Flow_IAT_Min > -0.23926838487386703 AND Flow_Duration <= -0.11805800721049309 AND Src_Port > 0.9361713528633118 AND Flow_Duration > -0.13952350616455078 AND Flow_IAT_Min > -0.23871676623821259 AND Flow_Duration <= -0.1270246058702469 AND Flow_IAT_Min <= -0.14108024537563324 AND Flow_Duration > -0.13055690377950668 AND Flow_Duration <= -0.1272963210940361,Mirai-HTTP Flooding
